timestamp_sec,voltage
3e-06,-3.125e-05
0.004059,8.59375e-05
0.008056,7.8125e-06
0.012055,-0.0001328125
0.016054,-1.5625e-05
0.020056,9.375e-05
0.024055,2.34375e-05
0.028055,-0.000375
0.032055,-2.34375e-05
0.036056,0.000296875
0.040055,3.125e-05
0.044055,-0.000375
0.048055,-3.90625e-05
0.052055,0.0003515625
0.056056,5.46875e-05
0.060055,-0.00046093750000000003
0.064055,-4.6875e-05
0.068055,0.000375
0.072055,5.46875e-05
0.076055,-0.000578125
0.080055,-4.6875e-05
0.084055,0.0004765625
0.088055,0.000109375
0.092055,-0.00021875
0.096055,-0.0001796875
0.100055,0.000171875
0.104055,0.0001171875
0.108055,3.90625e-05
0.112055,-0.0001171875
0.116055,-2.34375e-05
0.120055,0.00010156250000000001
0.124055,3.125e-05
0.128056,-0.000390625
0.132055,-1.5625e-05
0.136057,0.0002890625
0.140055,3.90625e-05
0.144055,-0.000453125
0.148055,-3.125e-05
0.152055,0.0003515625
0.156055,3.90625e-05
0.160055,-0.0005078125
0.164055,-4.6875e-05
0.168055,0.000390625
0.172057,5.46875e-05
0.176061,-0.0005390625
0.180057,-3.90625e-05
0.184057,0.0004375
0.188056,0.000109375
0.192056,-0.0001328125
0.196058,-0.0001328125
0.200056,0.0001640625
0.204056,0.000109375
0.208055,3.90625e-05
0.212055,-0.000171875
0.216055,-7.8125e-06
0.220056,0.000109375
0.224056,3.125e-05
0.228056,-0.0004140625
0.232055,-1.5625e-05
0.236056,0.0002890625
0.240056,3.90625e-05
0.244056,-0.00046875
0.248055,-6.25e-05
0.252055,0.0003203125
0.256055,4.6875e-05
0.260055,-0.0005
0.264056,-4.6875e-05
0.268055,0.00040625000000000004
0.272055,4.6875e-05
0.276056,-0.00039843750000000003
0.280055,-4.6875e-05
0.284055,0.00028125000000000003
0.288055,7.8125e-05
0.292055,-0.0001796875
0.296056,-0.00015625
0.300056,0.00015625
0.304056,7.8125e-05
0.308055,4.6875e-05
0.312055,-0.0001171875
0.316056,-2.34375e-05
0.320055,0.00014062500000000002
0.324055,3.125e-05
0.328055,-0.0004296875
0.332056,-4.6875e-05
0.336056,0.0003125
0.340055,3.90625e-05
0.344055,-0.0005
0.348055,-3.125e-05
0.352055,0.00033593750000000003
0.356055,3.90625e-05
0.360055,-0.000515625
0.364055,-3.90625e-05
0.368056,0.0004921875
0.372055,6.25e-05
0.376055,-0.000265625
0.380055,-3.125e-05
0.384055,0.000171875
0.388056,7.8125e-05
0.392055,-0.000125
0.396056,-0.0001171875
0.400055,0.0001640625
0.404055,0.000109375
0.408056,3.125e-05
0.412055,-0.0001484375
0.416054,-2.34375e-05
0.420055,0.0001796875
0.424056,2.34375e-05
0.428056,-0.00046093750000000003
0.432055,-3.125e-05
0.436055,0.00028125000000000003
0.440055,3.90625e-05
0.444056,-0.0004765625
0.448056,-5.46875e-05
0.452055,0.00034375
0.456055,3.90625e-05
0.460056,-0.000484375
0.464056,-3.90625e-05
0.468055,0.00046875
0.472055,6.25e-05
0.476055,-0.000296875
0.480056,-4.6875e-05
0.484056,0.0001875
0.488055,9.375e-05
0.492055,8.59375e-05
0.496055,-0.0001640625
0.500055,0.000171875
0.504056,9.375e-05
0.508055,3.90625e-05
0.512055,-0.000171875
0.516055,-1.5625e-05
0.520056,0.0001796875
0.524055,3.90625e-05
0.528055,-0.000265625
0.532055,-3.125e-05
0.536056,0.0003203125
0.540056,3.125e-05
0.544063,-0.00046093750000000003
0.548058,-4.6875e-05
0.552056,0.00034375
0.556056,3.90625e-05
0.560055,-0.0005
0.564055,-3.90625e-05
0.568055,0.0003125
0.572056,7.031250000000001e-05
0.576056,-0.0002421875
0.580056,-4.6875e-05
0.584055,0.0001796875
0.588055,4.6875e-05
0.592056,0.000125
0.596056,-0.0001484375
0.600055,0.0001875
0.604055,0.0001171875
0.608055,-0.00028125000000000003
0.612056,-0.00021875
0.616055,-3.90625e-05
0.620055,0.00020312500000000002
0.624055,3.90625e-05
0.628055,-0.00020312500000000002
0.632054,-2.34375e-05
0.636056,0.00034375
0.640055,3.90625e-05
0.644055,-0.0004765625
0.648056,-3.125e-05
0.652056,0.00034375
0.656055,4.6875e-05
0.660055,-0.000484375
0.664054,-3.125e-05
0.668063,0.000328125
0.672058,6.25e-05
0.676056,-0.0002421875
0.680055,-5.46875e-05
0.684056,0.0001796875
0.688055,4.6875e-05
0.692055,3.90625e-05
0.696054,-0.00015625
0.700055,0.0001953125
0.704056,0.0001328125
0.708056,-0.00028125000000000003
0.712055,-0.0001796875
0.716055,-1.5625e-05
0.720056,0.0001796875
0.724055,1.5625e-05
0.728054,-0.00025
0.732055,-7.8125e-06
0.736056,0.0003046875
0.740056,3.90625e-05
0.744056,-0.0005234375
0.748055,-4.6875e-05
0.752055,0.0003515625
0.756055,3.125e-05
0.760056,-0.0005
0.764055,-5.46875e-05
0.768055,0.00034375
0.772055,6.25e-05
0.776056,-0.000234375
0.780056,-4.6875e-05
0.784055,0.0001484375
0.788055,1.5625e-05
0.792055,-0.00025
0.796056,-0.0001328125
0.800056,0.000171875
0.804056,0.000125
0.808056,-0.00028125000000000003
0.812056,-0.000234375
0.816056,-2.34375e-05
